id,nombre,ambito,pais,estado,ciudad,direccion,telefono,recibe,horario,contacto,aporte,lat,lng,status,verificaciones,created_at,fecha_fin
1016b4ab-41fe-403d-b117-0b01cd5526f3,Xtrema 98.9 FM,Venezuela,,Zulia,Cabimas,Carretera H,,Todos los insumos posibles,,,,10.4195307,-71.4228841,verificado,3,2026-06-26T18:25:15.839443+00:00,
36fda1a4-2162-4177-9d5a-913b5dcc218f,EL TACÓN,Venezuela,Venezuela,Zulia,Maracaibo,Av. Delicias con calle Cecilio Acosta (esquina del Tacón de Delicias),,"Linternas, bombillos de emergencia/iluminación industrial, cascos con linternas, palas, porras, picos, carpas, mascarillas 3M, guantes de protección, medicamentos (antihipertensivos, calmantes, diclofenac, gotas, gasas, vendas, agua oxigenada, solución salina, inyectadoras), pañales, agua, comida enlatada, ropa, cobijas, sábanas, comida para mascotas",,,,10.64374,-71.6191008,verificado,3,2026-06-26T18:03:53.261273+00:00,
c7f6989a-5284-4e82-b69a-12d77c0a40b8,Bigote barberia,Exterior,España,Barcelona,Barcelona,Carrer d’hipoli lazaro 29-31,+34 931 381 811,Medicinas y ropa,,Barberia bigote,@Divelligio,41.407038,2.163903,verificado,2,2026-06-27T15:21:08.821922+00:00,
80f071ba-ecd5-49fc-b171-eee462b72637,Iglesia La Paz (Montalbán),Venezuela,Venezuela,Distrito Capital,Caracas,"Iglesia La Paz, Montalbán I, Caracas",,"Medicamentos, alimentos no perecederos, higiene personal, artículos para niños, material médico, ropa en buen estado, artículos de confort",,,@bydanay_,10.4758449,-66.9507119,verificado,1,2026-06-26T22:07:39.271795+00:00,
bb02b160-8afd-476b-930b-215678dd41ac,Kora Balance,Exterior,España,Madrid,Madrid,"Avenida de Miguel Delibes 47, Madrid",,"Alimentos no perecederos, medicamentos y primeros auxilios, leche infantil/pañales/productos de bebé, higiene personal, linternas/pilas/baterías, mantas/sábanas/ropa en buen estado, cajas de plástico para envío",26 jun-3 jul,,@rubiacriolla,40.405657,-3.5604672,verificado,1,2026-06-26T20:52:56.117067+00:00,2026-07-03
a96f192a-4a48-4a4c-a93a-0e363b3a1368,METABOX CARGO - CINCO RANCH,Exterior,Estados Unidos,Texas,Katy,"25600 Westheimer Pkwy., Katy, TX 77494 (Mi Querencia)",,"Agua y alimentos no perecederos, insumos médicos, higiene y cuidado personal, linternas/baterías/radios",Lun-Dom 12pm-6pm,,@ramoncastro77,29.750496,-95.798305,verificado,1,2026-06-26T20:51:13.479947+00:00,
31087e9b-a9f3-466b-82be-9d45d3f8e65b,Embajada de Venezuela en México,Exterior,México,Ciudad de México,Ciudad de México,"Calle Schiller 326, Polanco, Ciudad de México",,Insumos no perecederos. Entregar directamente en la sede (la Embajada no coordina con ONGs que soliciten dinero).,,@embavenmexico,@embavenmexico,19.4339655,-99.1863405,verificado,0,2026-06-26T22:03:56.116976+00:00,
9989207d-5a90-4499-9814-c2b86961a85f,EL KOURMET,Exterior,Estados Unidos,Texas,Katy,"25757 Westheimer Pkwy., Katy, TX",,"Agua y alimentos no perecederos, insumos médicos, higiene y cuidado personal, linternas/baterías/radios",Lun-Dom 8am-10pm,,@ramoncastro77,29.7511199,-95.7995441,verificado,0,2026-06-26T20:51:13.479947+00:00,
deeec616-2ea5-47c6-8599-7bb8bd1c08c4,QSTT LOGISTICS,Exterior,Estados Unidos,Texas,Houston,"15945 Morales Rd., Bldg. C, Ste. 200, Houston, TX",,"Agua y alimentos no perecederos, insumos médicos, higiene y cuidado personal, linternas/baterías/radios",Lun-Vie 9am-5pm,,@ramoncastro77,29.9503452,-95.3459264,verificado,0,2026-06-26T20:51:13.479947+00:00,
a5457a2a-ec28-403f-b6b4-a3e879274fb5,JUMP AND PLAY,Exterior,Estados Unidos,Texas,Tomball,"27620 TX-249 Ste A6, Tomball, TX 77375",,"Agua y alimentos no perecederos, insumos médicos, higiene y cuidado personal, linternas/baterías/radios",Lun-Sáb 9am-8pm; Dom 9am-7pm,,@ramoncastro77,30.087736,-95.633468,verificado,0,2026-06-26T20:51:13.479947+00:00,
